[0.000000] (-) TimerEvent: {}
[0.000203] (micro_ros_setup) JobQueued: {'identifier': 'micro_ros_setup', 'dependencies': OrderedDict()}
[0.352103] (micro_ros_setup) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.353093] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/ament_index/resource_index/package_run_dependencies/micro_ros_setup\n'}
[0.353959] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/ament_index/resource_index/parent_prefix_path/micro_ros_setup\n'}
[0.354312] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.sh\n'}
[0.354934] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.dsv\n'}
[0.355235] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.sh\n'}
[0.355568] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.dsv\n'}
[0.355839] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.bash\n'}
[0.356095] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.sh\n'}
[0.356378] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.zsh\n'}
[0.356682] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.dsv\n'}
[0.356954] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/package.dsv\n'}
[0.357394] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/ament_index/resource_index/packages/micro_ros_setup\n'}
[0.357935] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig.cmake\n'}
[0.358219] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig-version.cmake\n'}
[0.358945] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/package.xml\n'}
[0.359407] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config\n'}
[0.359958] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra\n'}
[0.360516] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/dev_uros_packages.repos\n'}
