[0.000000] (-) TimerEvent: {}
[0.000229] (micro_ros_setup) JobQueued: {'identifier': 'micro_ros_setup', 'dependencies': OrderedDict()}
[0.600939] (-) TimerEvent: {}
[0.606389] (micro_ros_setup) StdoutLine: {'line': b'-- Configuring done\n'}
[0.612984] (micro_ros_setup) StdoutLine: {'line': b'-- Generating done\n'}
[0.614564] (micro_ros_setup) StdoutLine: {'line': b'-- Build files have been written to: /home/robot/app/robot_ws/build/micro_ros_setup\n'}
[0.645755] (micro_ros_setup) CommandEnded: {'returncode': 0}
[0.677117] (micro_ros_setup) JobProgress: {'identifier': 'micro_ros_setup', 'progress': 'install'}
[0.690819] (micro_ros_setup) Command: {'cmd': ['/usr/bin/cmake', '--install', '/home/robot/app/robot_ws/build/micro_ros_setup'], 'cwd': '/home/robot/app/robot_ws/build/micro_ros_setup', 'env': OrderedDict([('HOSTNAME', 'miguel-BOHB-WAX9'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/robot'), ('OLDPWD', '/home/robot/app/robot_ws/src'), ('ROS_PYTHON_VERSION', '3'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('DISPLAY', ':0'), ('LANG', 'C.UTF-8'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('AMENT_PREFIX_PATH', '/opt/ros/humble'), ('PWD', '/home/robot/app/robot_ws/build/micro_ros_setup'), ('LC_ALL', 'C.UTF-8'), ('PYTHONPATH', '/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/opt/ros/humble')]), 'shell': False}
[0.701081] (-) TimerEvent: {}
[0.702038] (micro_ros_setup) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.702508] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/ament_index/resource_index/package_run_dependencies/micro_ros_setup\n'}
[0.702779] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/ament_index/resource_index/parent_prefix_path/micro_ros_setup\n'}
[0.703091] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.sh\n'}
[0.703307] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.dsv\n'}
[0.703654] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.sh\n'}
[0.704043] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.dsv\n'}
[0.704285] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.bash\n'}
[0.704562] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.sh\n'}
[0.704801] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.zsh\n'}
[0.705063] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.dsv\n'}
[0.705286] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/package.dsv\n'}
[0.705607] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/ament_index/resource_index/packages/micro_ros_setup\n'}
[0.705840] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig.cmake\n'}
[0.706153] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig-version.cmake\n'}
[0.706404] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/package.xml\n'}
[0.706636] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config\n'}
[0.706782] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra\n'}
[0.706903] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/dev_uros_packages.repos\n'}
[0.708170] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/dev_ros2_packages.txt\n'}
[0.708536] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/list_apps.sh\n'}
[0.708939] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5\n'}
[0.709226] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/create.sh\n'}
[0.709489] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/build.sh\n'}
[0.709828] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/configure.sh\n'}
[0.710205] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/client-colcon.meta\n'}
[0.710485] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/flash.sh\n'}
[0.710839] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/client_uros_packages.repos\n'}
[0.711212] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/board.repos\n'}
[0.711570] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr\n'}
[0.711868] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/dev_uros_packages.repos\n'}
[0.712112] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/dev_ros2_packages.txt\n'}
[0.712448] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/list_apps.sh\n'}
[0.712811] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic\n'}
[0.713089] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/supported_platforms\n'}
[0.713349] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/package.xml\n'}
[0.713764] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/create.sh\n'}
[0.714085] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/build.sh\n'}
[0.714457] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/configure.sh\n'}
[0.714832] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/client-colcon.meta\n'}
[0.715191] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/flash.sh\n'}
[0.715554] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/client_uros_packages.repos\n'}
[0.715826] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/board.repos\n'}
[0.716083] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/android\n'}
[0.716322] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/android/dev_uros_packages.repos\n'}
[0.716568] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/android/dev_ros2_packages.txt\n'}
[0.716919] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/android/generic\n'}
[0.717225] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/android/generic/package.xml\n'}
[0.717494] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/android/generic/create.sh\n'}
[0.717822] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/android/generic/build.sh\n'}
[0.718171] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/android/generic/client-colcon.meta\n'}
[0.718541] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/android/generic/flash.sh\n'}
[0.718963] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/android/generic/client_uros_packages.repos\n'}
[0.719329] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/host\n'}
[0.719618] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/host/dev_uros_packages.repos\n'}
[0.719888] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/host/dev_ros2_packages.txt\n'}
[0.720222] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/host/generic\n'}
[0.720490] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/host/generic/package.xml\n'}
[0.720778] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/host/generic/create.sh\n'}
[0.721105] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/host/generic/client-host-colcon.meta\n'}
[0.721471] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/host/generic/build.sh\n'}
[0.721839] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/host/generic/flash.sh\n'}
[0.722212] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/host/generic/client_host_packages.repos\n'}
[0.722598] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/host/client_ros2_packages.txt\n'}
[0.722973] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos\n'}
[0.723262] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi\n'}
[0.723465] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/package.xml\n'}
[0.723734] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/create.sh\n'}
[0.724014] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/build.sh\n'}
[0.724371] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/configure.sh\n'}
[0.724749] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/client-colcon.meta\n'}
[0.725125] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/flash.sh\n'}
[0.725492] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/client_uros_packages.repos\n'}
[0.725767] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/board.repos\n'}
[0.726030] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg\n'}
[0.726276] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/package.xml\n'}
[0.726527] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/create.sh\n'}
[0.726887] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/build.sh\n'}
[0.727292] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/configure.sh\n'}
[0.727699] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/client-colcon.meta\n'}
[0.728082] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/flash.sh\n'}
[0.728469] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/client_uros_packages.repos\n'}
[0.728750] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/board.repos\n'}
[0.729002] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze\n'}
[0.729255] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/package.xml\n'}
[0.729493] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/create.sh\n'}
[0.729826] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/build.sh\n'}
[0.730204] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/configure.sh\n'}
[0.730608] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/client-colcon.meta\n'}
[0.730996] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/flash.sh\n'}
[0.731368] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/client_uros_packages.repos\n'}
[0.731623] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/board.repos\n'}
[0.731866] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407\n'}
[0.732090] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/package.xml\n'}
[0.732338] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/create.sh\n'}
[0.732738] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/build.sh\n'}
[0.733120] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/configure.sh\n'}
[0.733522] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/client-colcon.meta\n'}
[0.733945] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/flash.sh\n'}
[0.734324] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/client_uros_packages.repos\n'}
[0.734608] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/board.repos\n'}
[0.734906] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/crazyflie21\n'}
[0.735137] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/crazyflie21/package.xml\n'}
[0.735399] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/crazyflie21/create.sh\n'}
[0.735702] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/crazyflie21/build.sh\n'}
[0.736093] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/crazyflie21/configure.sh\n'}
[0.736477] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/crazyflie21/client-colcon.meta\n'}
[0.736904] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/crazyflie21/flash.sh\n'}
[0.737283] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/crazyflie21/client_uros_packages.repos\n'}
[0.737544] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/crazyflie21/board.repos\n'}
[0.737823] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/dev_uros_packages.repos\n'}
[0.738149] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/dev_ros2_packages.txt\n'}
[0.738531] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re\n'}
