[0.000000] (-) TimerEvent: {}
[0.000311] (micro_ros_setup) JobQueued: {'identifier': 'micro_ros_setup', 'dependencies': OrderedDict()}
[0.216421] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/ament_index/resource_index/package_run_dependencies/micro_ros_setup\n'}
[0.216804] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/ament_index/resource_index/parent_prefix_path/micro_ros_setup\n'}
[0.217125] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.sh\n'}
[0.217437] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.dsv\n'}
[0.217745] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.sh\n'}
[0.218065] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.dsv\n'}
[0.218394] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.bash\n'}
[0.218725] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.sh\n'}
[0.219061] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.zsh\n'}
[0.219435] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.dsv\n'}
[0.219659] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/package.dsv\n'}
[0.220025] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/ament_index/resource_index/packages/micro_ros_setup\n'}
[0.220394] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig.cmake\n'}
[0.220613] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig-version.cmake\n'}
[0.220997] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/package.xml\n'}
[0.221366] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config\n'}
[0.221698] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra\n'}
[0.222034] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/dev_uros_packages.repos\n'}
